movieId,poster
27,"https://m.media-amazon.com/images/M/MV5BNmZlNjdmMDUtNzY4ZC00Nzc3LTg0NDQtNmU2YjM3NTc4NmJjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR11,0,182,268_AL_.jpg"
28,"https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
29,"https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
30,"https://m.media-amazon.com/images/M/MV5BOWFhNTM4MmYtMTBjZi00MWMyLWEyMjYtNjAwODcyM2U2NzM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg"
31,"https://m.media-amazon.com/images/M/MV5BOGFiZDkxODAtMzZlYy00YzE4LTk2MzAtZmE1MzYyODliYjUyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR87,0,182,268_AL_.jpg"
32,"https://m.media-amazon.com/images/M/MV5BYzEzMGUyNjQtNTRjZC00OGY1LThmMTYtM2UwM2Q0ZWM3NzE2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
34,"https://m.media-amazon.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
36,"https://m.media-amazon.com/images/M/MV5BZWM1OGIxYzYtMzI1ZC00NDZmLWEzNmMtOTc2Y2JjNTQ0NDAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg"
38,"https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR87,0,182,268_AL_.jpg"
39,
40,"https://m.media-amazon.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
41,"https://m.media-amazon.com/images/M/MV5BZmNlZGU4MDMtNmQzNS00ZGNlLWEzZjctZTUwNjRhZDc5NDllXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UY268_CR87,0,182,268_AL_.jpg"
